,YYYY,MM,T,S,O,Q,time,longitude,latitude,slhf,ssr,sshf,str,u10,v10,t2m,WL
0,2010,1,10.4217,13.1786,11.0026,3563.3496,1/1/2010,-88,30.25,-11974237,11240919,-5648075,-8154515,0.2345306,-2.1002462,283.48636,-0.0568
1,2010,2,10.5447,6.2993,10.9593,4320.1324,2/1/2010,-88,30.25,-12521890,13475330,-4910544,-7808694.5,0.5623157,-2.616675,283.71487,-0.0324
2,2010,3,14.9907,9.4933,10.2436,3501.9661,3/1/2010,-88,30.25,-8407296,17783600,-1657170,-7135715.5,1.1642928,-0.40486518,287.66162,-0.0513
3,2010,4,21.1904,16.4487,7.755,1424.7409,4/1/2010,-88,30.25,-6459205.5,22470020,-197667,-7284165,-0.9782133,1.7348031,292.99527,-0.0092
4,2010,5,26.4007,11.1174,7.2505,2009.8534,5/1/2010,-88,30.25,-6227118.5,21909040,-311309,-5146405,-0.7706771,2.3864546,297.8872,0.1081
5,2010,6,30.1773,13.44,6.1679,802.13,6/1/2010,-88,30.25,-10193825,21395058,-761149.75,-4957890.5,-0.009019256,2.3999314,301.47052,0.1359
6,2010,7,30.5303,20.6536,6.1156,404.5649,7/1/2010,-88,30.25,-10869576,20764262,-850843.25,-4649921,-0.44728687,1.4543914,301.5928,0.1836
7,2010,8,30.5261,22.2827,5.458,321.9712,8/1/2010,-88,30.25,-11017823,17193552,-1095822.8,-4110841.5,0.39555427,1.4215482,301.7506,0.1638
8,2010,9,29.1052,23.5017,6.5321,201.4929,9/1/2010,-88,30.25,-12206684,19749066,-781437.5,-6227620.5,-1.6818831,0.34893948,300.61447,0.2511
9,2010,10,22.9584,25.6125,7.4323,234.2895,10/1/2010,-88,30.25,-15355508,17292708,-1358801.8,-8536815,0.9966768,-0.9765608,296.12082,0.0632
10,2010,11,18.7872,26.7909,7.9313,400.5883,11/1/2010,-88,30.25,-12166383,11447924,-2515970.5,-7385486.5,-1.2365348,0.28959548,292.28714,0.0514
11,2010,12,11.0105,24.3964,9.6704,624.1845,12/1/2010,-88,30.25,-16936938,10733456,-6469198,-8901192,0.5609728,-1.9654764,285.23737,-0.1734
12,2011,1,10.6907,22.2388,10.1886,1116.5771,1/1/2011,-88,30.25,-9640055,11489217,-3343500,-7456443,-0.019640222,-1.6420289,284.79807,-0.1578
13,2011,2,12.781,18.1524,10.0829,1318.1572,2/1/2011,-88,30.25,-6980591.5,13731778,-2873219,-6440490,-0.12841362,0.15743053,286.767,-0.1363
14,2011,3,18.8396,10.8502,8.5811,3864.2384,3/1/2011,-88,30.25,-5546330.5,17544266,-640185.5,-6233314,-0.8213404,1.2156563,291.23538,0.0292
15,2011,4,23.0318,8.6728,7.9464,3017.8158,4/1/2011,-88,30.25,-7157985,23046214,-387884.25,-6569645.5,-0.73783755,3.2972264,294.6684,0.0612
16,2011,5,25.0561,15.7039,7.2536,871.8377,5/1/2011,-88,30.25,-11383765,24901656,-1268498,-7231870.5,-0.1210888,2.0284653,296.66464,0.0602
17,2011,6,30.1446,18.9878,5.8139,315.4303,6/1/2011,-88,30.25,-10383812,23390680,-531424.5,-5179722,2.208444,2.4249601,301.33594,0.0696
18,2011,7,30.2047,22.4508,5.7108,374.4394,7/1/2011,-88,30.25,-9382780,20251638,-699218.5,-4620083,2.0454671,1.8891653,301.34924,0.1057
19,2011,8,31.1197,21.8574,5.9759,295.6548,8/1/2011,-88,30.25,-9737208,21893556,-350359.5,-5240873,2.1553392,0.09106493,302.63535,0.0837
20,2011,9,27.1838,23.8786,6.6747,883.3331,9/1/2011,-88,30.25,-13345888,17249786,-1530256.8,-6033097,-0.4852538,0.90285456,298.86588,0.1794
21,2011,10,21.9739,23.4428,7.4437,239.7794,10/1/2011,-88,30.25,-17411906,17017788,-2576986.5,-8781525,-1.436258,-2.5608416,294.65677,0.0867
22,2011,11,17.6018,27.7785,8.0183,459.0814,11/1/2011,-88,30.25,-12770889,11499540,-2519173.8,-6784834.5,-1.7135019,-0.13192809,291.63333,0.0857
23,2011,12,14.3428,22.23,9.2144,1674.8382,12/1/2011,-88,30.25,-8509486,9461812,-2374565.8,-6240167,-1.84779,-0.9812041,288.66864,0.0271
24,2012,1,14.4803,17.193,9.6706,2482.4151,1/1/2012,-88,30.25,-6539446.5,11274876,-1031755.75,-6445129,0.77314806,1.2961785,288.43774,-0.0472
25,2012,2,15.193,12.965,9.4295,2246.694,2/1/2012,-88,30.25,-6508861.5,10821746,-1554053,-4417862.5,-1.4810613,-0.6159667,288.58905,0.0004
26,2012,3,20.1763,15.0229,8.4601,2595.6458,3/1/2012,-88,30.25,-3313979,16626867,83007,-5149041,-1.4239279,2.0777297,292.58945,0.0608
27,2012,4,22.6583,17.8077,7.2993,747.3087,4/1/2012,-88,30.25,-10292057,21750392,-1026874.5,-7017630.5,0.10585814,0.66287374,294.6725,0.0812
28,2012,5,27.1847,20.5311,6.8446,509.5837,5/1/2012,-88,30.25,-8665290,22622152,-510069,-6112698.5,0.19107008,1.2086347,298.36237,0.1204
29,2012,6,27.9346,23.9975,6.3095,296.7978,6/1/2012,-88,30.25,-12759374,22283662,-788454.5,-5393118,-0.7444299,1.1437414,299.89612,0.222
30,2012,7,29.8048,24.5292,5.8832,337.792,7/1/2012,-88,30.25,-8700912,19711576,-698150.75,-4532468.5,1.7242743,1.8896183,300.96326,0.1599
31,2012,8,29.0242,22.1982,5.2487,511.0543,8/1/2012,-88,30.25,-11264663,17181598,-1035111.75,-4547967,0.26505062,1.7892772,300.64523,0.2348
32,2012,9,27.4339,20.6044,6.7846,771.2647,9/1/2012,-88,30.25,-10503994,17971046,-879978.5,-5641835,-1.0971193,0.5859757,299.2054,0.2072
33,2012,10,23.1934,21.8306,7.2548,512.4793,10/1/2012,-88,30.25,-16674985,16844740,-2623053.5,-8091044,0.001723796,-1.6539204,295.51382,0.1338
34,2012,11,17.0752,26.4926,8.2155,345.6349,11/1/2012,-88,30.25,-12683091,12863550,-2662256.2,-8328901,-0.6977953,-1.863663,290.62735,0.0838
35,2012,12,16.5885,26.5678,8.3563,1566.531,12/1/2012,-88,30.25,-8613835,9631328,-2413311,-6761744.5,-0.31751573,0.53478587,289.35117,0.0254
36,2013,1,13.3281,11.3885,9.7957,3780.2928,1/1/2013,-88,30.25,-5794609.5,9626167,-1555578.2,-4889675.5,-1.1878248,-0.2794953,288.21228,-0.0124
