,YYYY,MM,T,S,O
0,2010.0,1.0,10.4217,13.1786,11.0026
1,2010.0,2.0,10.5447,6.2993,10.9593
2,2010.0,3.0,14.9907,9.4933,10.2436
3,2010.0,4.0,21.1904,16.4487,7.755
4,2010.0,5.0,26.4007,11.1174,7.2505
5,2010.0,6.0,30.1773,13.44,6.1679
6,2010.0,7.0,30.5303,20.6536,6.1156
7,2010.0,8.0,30.5261,22.2827,5.458
8,2010.0,9.0,29.1052,23.5017,6.5321
9,2010.0,10.0,22.9584,25.6125,7.4323
10,2010.0,11.0,18.7872,26.7909,7.9313
11,2010.0,12.0,11.0105,24.3964,9.6704
12,2011.0,1.0,10.6907,22.2388,10.1886
13,2011.0,2.0,12.781,18.1524,10.0829
14,2011.0,3.0,18.8396,10.8502,8.5811
15,2011.0,4.0,23.0318,8.6728,7.9464
16,2011.0,5.0,25.0561,15.7039,7.2536
17,2011.0,6.0,30.1446,18.9878,5.8139
18,2011.0,7.0,30.2047,22.4508,5.7108
19,2011.0,8.0,31.1197,21.8574,5.9759
20,2011.0,9.0,27.1838,23.8786,6.6747
21,2011.0,10.0,21.9739,23.4428,7.4437
22,2011.0,11.0,17.6018,27.7785,8.0183
23,2011.0,12.0,14.3428,22.23,9.2144
24,2012.0,1.0,14.4803,17.193,9.6706
25,2012.0,2.0,15.193,12.965,9.4295
26,2012.0,3.0,20.1763,15.0229,8.4601
27,2012.0,4.0,22.6583,17.8077,7.2993
28,2012.0,5.0,27.1847,20.5311,6.8446
29,2012.0,6.0,27.9346,23.9975,6.3095
30,2012.0,7.0,29.8048,24.5292,5.8832
31,2012.0,8.0,29.0242,22.1982,5.2487
32,2012.0,9.0,27.4339,20.6044,6.7846
33,2012.0,10.0,23.1934,21.8306,7.2548
34,2012.0,11.0,17.0752,26.4926,8.2155
35,2012.0,12.0,16.5885,26.5678,8.3563
36,2013.0,1.0,13.3281,11.3885,9.7957
37,2013.0,2.0,14.354,7.1239,9.6506
38,2013.0,3.0,14.9336,10.3902,9.7702
39,2013.0,4.0,20.4658,10.0347,8.6292
40,2013.0,5.0,23.2267,10.1911,7.7737
41,2013.0,6.0,28.7671,15.5399,6.7135
42,2013.0,7.0,28.4653,15.7811,7.0215
43,2013.0,8.0,28.9878,15.684,5.562
44,2013.0,9.0,28.8904,19.2548,5.4685
45,2013.0,10.0,23.8704,23.4818,7.1457
46,2013.0,11.0,16.709,26.078,8.3582
47,2013.0,12.0,12.923,17.9188,10.0548
48,2014.0,1.0,9.2458,13.7572,10.9363
49,2014.0,2.0,11.6115,11.7467,10.9636
50,2014.0,3.0,15.1554,11.348,9.7194
51,2014.0,4.0,19.4308,4.3246,8.9005
52,2014.0,5.0,24.4743,7.5248,7.5196
53,2014.0,6.0,28.391,12.4985,6.577
54,2014.0,7.0,28.4943,19.3356,6.4339
55,2014.0,8.0,29.4943,23.9712,6.1733
56,2014.0,9.0,28.6943,24.8091,6.1552
57,2014.0,10.0,23.4911,24.4484,7.0142
58,2014.0,11.0,14.7852,20.6073,9.0687
59,2014.0,12.0,14.7059,20.8158,9.2461
60,2015.0,1.0,11.4836,11.3501,10.4069
61,2015.0,2.0,11.597,18.921,8.3836
62,2015.0,3.0,16.4299,11.8228,9.2844
63,2015.0,4.0,22.0041,11.4396,7.748
64,2015.0,5.0,25.9985,12.8149,6.853
65,2015.0,6.0,28.671,16.7617,6.4867
66,2015.0,7.0,29.6568,20.1324,6.4331
67,2015.0,8.0,29.3995,25.7436,6.1908
68,2015.0,9.0,26.7859,25.9009,4.3628
69,2015.0,10.0,22.4815,27.9638,7.1204
70,2015.0,11.0,19.0915,21.5905,8.7019
71,2015.0,12.0,17.6073,17.1388,8.9591
72,2016.0,1.0,12.0465,8.2111,10.2561
73,2016.0,2.0,13.6712,10.5424,10.2543
74,2016.0,3.0,18.4367,5.9502,9.1343
75,2016.0,4.0,21.2003,9.1341,8.3965
76,2016.0,5.0,25.5468,15.9303,7.0105
77,2016.0,6.0,29.277,19.017,6.4997
