YYYY,MM,DD,hh,mm,ss,Q_AR_TR_sum (m^3/s)
1960,10,1,0,0,0,451.65296
1960,10,2,0,0,0,557.274624
1960,10,3,0,0,0,629.199296
1960,10,4,0,0,0,515.932096
1960,10,5,0,0,0,429.565856
1960,10,6,0,0,0,387.656992
1960,10,7,0,0,0,458.448992
1960,10,8,0,0,0,804.19712
1960,10,9,0,0,0,762.288256
1960,10,10,0,0,0,707.070496
1960,10,11,0,0,0,851.203008
1960,10,12,0,0,0,557.84096
1960,10,13,0,0,0,766.535776
1960,10,14,0,0,0,697.159616
1960,10,15,0,0,0,789.755552
1960,10,16,0,0,0,700.8408
1960,10,17,0,0,0,702.25664
1960,10,18,0,0,0,668.842816
1960,10,19,0,0,0,564.92016
1960,10,20,0,0,0,457.882656
1960,10,21,0,0,0,516.7816
1960,10,22,0,0,0,474.023232
1960,10,23,0,0,0,483.934112
1960,10,24,0,0,0,470.05888
1960,10,25,0,0,0,552.743936
1960,10,26,0,0,0,501.773696
1960,10,27,0,0,0,445.9896
1960,10,28,0,0,0,461.56384
1960,10,29,0,0,0,492.71232
1960,10,30,0,0,0,470.625216
1960,10,31,0,0,0,1030.73152
1960,11,1,0,0,0,778.712
1960,11,2,0,0,0,672.807168
1960,11,3,0,0,0,671.10816
1960,11,4,0,0,0,556.708288
1960,11,5,0,0,0,627.783456
1960,11,6,0,0,0,565.203328
1960,11,7,0,0,0,532.35584
1960,11,8,0,0,0,513.100416
1960,11,9,0,0,0,493.278656
1960,11,10,0,0,0,439.759904
1960,11,11,0,0,0,445.706432
1960,11,12,0,0,0,531.506336
1960,11,13,0,0,0,590.971616
1960,11,14,0,0,0,588.706272
1960,11,15,0,0,0,621.55376
1960,11,16,0,0,0,612.775552
1960,11,17,0,0,0,506.87072
1960,11,18,0,0,0,515.36576
1960,11,19,0,0,0,545.381568
1960,11,20,0,0,0,545.381568
1960,11,21,0,0,0,562.937984
1960,11,22,0,0,0,551.611264
1960,11,23,0,0,0,631.46464
1960,11,24,0,0,0,436.645056
1960,11,25,0,0,0,671.10816
1960,11,26,0,0,0,696.59328
1960,11,27,0,0,0,775.88032
1960,11,28,0,0,0,702.25664
1960,11,29,0,0,0,671.10816
1960,11,30,0,0,0,724.91008
1960,12,1,0,0,0,679.6032
1960,12,2,0,0,0,643.074528
1960,12,3,0,0,0,696.59328
1960,12,4,0,0,0,661.480448
1960,12,5,0,0,0,655.817088
1960,12,6,0,0,0,646.472544
1960,12,7,0,0,0,602.298336
1960,12,8,0,0,0,565.203328
1960,12,9,0,0,0,522.44496
1960,12,10,0,0,0,517.631104
1960,12,11,0,0,0,596.351808
1960,12,12,0,0,0,656.383424
1960,12,13,0,0,0,648.45472
1960,12,14,0,0,0,637.128
1960,12,15,0,0,0,696.59328
1960,12,16,0,0,0,855.16736
1960,12,17,0,0,0,891.9792
1960,12,18,0,0,0,865.644576
1960,12,19,0,0,0,868.193088
1960,12,20,0,0,0,828.549568
1960,12,21,0,0,0,835.3456
1960,12,22,0,0,0,863.6624
1960,12,23,0,0,0,903.30592
1960,12,24,0,0,0,979.76128
1960,12,25,0,0,0,968.43456
1960,12,26,0,0,0,988.25632
1960,12,27,0,0,0,937.28608
1960,12,28,0,0,0,857.99904
1960,12,29,0,0,0,846.67232
1960,12,30,0,0,0,880.65248
1960,12,31,0,0,0,750.3952
1961,1,1,0,0,0,1152.49376
1961,1,2,0,0,0,1478.13696
1961,1,3,0,0,0,1529.1072
1961,1,4,0,0,0,1548.92896
1961,1,5,0,0,0,1285.58272
1961,1,6,0,0,0,1268.59264
1961,1,7,0,0,0,1226.11744
1961,1,8,0,0,0,1169.48384
1961,1,9,0,0,0,1121.34528
1961,1,10,0,0,0,1053.38496
1961,1,11,0,0,0,894.81088
1961,1,12,0,0,0,874.98912
1961,1,13,0,0,0,829.68224
1961,1,14,0,0,0,824.01888
1961,1,15,0,0,0,843.84064
1961,1,16,0,0,0,753.22688
1961,1,17,0,0,0,696.59328
1961,1,18,0,0,0,696.59328
1961,1,19,0,0,0,724.91008
1961,1,20,0,0,0,784.37536
1961,1,21,0,0,0,894.81088
1961,1,22,0,0,0,957.10784
1961,1,23,0,0,0,982.59296
1961,1,24,0,0,0,917.46432
1961,1,25,0,0,0,1013.74144
1961,1,26,0,0,0,1223.28576
1961,1,27,0,0,0,1415.84
1961,1,28,0,0,0,1319.56288
1961,1,29,0,0,0,1234.61248
1961,1,30,0,0,0,1124.17696
1961,1,31,0,0,0,1059.04832
1961,2,1,0,0,0,988.25632
1961,2,2,0,0,0,923.12768
1961,2,3,0,0,0,869.32576
1961,2,4,0,0,0,874.98912
1961,2,5,0,0,0,942.94944
1961,2,6,0,0,0,1016.57312
1961,2,7,0,0,0,1064.71168
1961,2,8,0,0,0,1112.85024
1961,2,9,0,0,0,1175.1472
1961,2,10,0,0,0,1313.89952
1961,2,11,0,0,0,1373.3648
1961,2,12,0,0,0,1285.58272
1961,2,13,0,0,0,1211.95904
1961,2,14,0,0,0,1107.18688
1961,2,15,0,0,0,1008.07808
1961,2,16,0,0,0,954.27616
1961,2,17,0,0,0,1033.5632
1961,2,18,0,0,0,3018.57088
1961,2,19,0,0,0,4522.19296
1961,2,20,0,0,0,5051.71712
1961,2,21,0,0,0,5804.944
1961,2,22,0,0,0,6711.0816
1961,2,23,0,0,0,7135.8336
1961,2,24,0,0,0,7843.7536
1961,2,25,0,0,0,9146.3264
1961,2,26,0,0,0,10080.7808
1961,2,27,0,0,0,10732.0672
1961,2,28,0,0,0,11524.9376
1961,3,1,0,0,0,12261.1744
1961,3,2,0,0,0,13082.3616
1961,3,3,0,0,0,13677.0144
1961,3,4,0,0,0,14073.4496
1961,3,5,0,0,0,14215.0336
1961,3,6,0,0,0,14215.0336
1961,3,7,0,0,0,14215.0336
1961,3,8,0,0,0,13818.5984
1961,3,9,0,0,0,13223.9456
1961,3,10,0,0,0,12487.7088
1961,3,11,0,0,0,11581.5712
1961,3,12,0,0,0,10788.7008
1961,3,13,0,0,0,10052.464
1961,3,14,0,0,0,9429.4944
1961,3,15,0,0,0,8863.1584
1961,3,16,0,0,0,8325.1392
1961,3,17,0,0,0,7872.0704
1961,3,18,0,0,0,7475.6352
1961,3,19,0,0,0,7079.2
1961,3,20,0,0,0,6682.7648
1961,3,21,0,0,0,6371.28
1961,3,22,0,0,0,6003.1616
1961,3,23,0,0,0,5606.7264
1961,3,24,0,0,0,5207.45952
1961,3,25,0,0,0,4751.55904
1961,3,26,0,0,0,4355.12384
1961,3,27,0,0,0,4029.48064
1961,3,28,0,0,0,4037.97568
1961,3,29,0,0,0,4437.24256
1961,3,30,0,0,0,4791.20256
1961,3,31,0,0,0,5552.92448
1961,4,1,0,0,0,6258.0128
1961,4,2,0,0,0,6597.8144
1961,4,3,0,0,0,6852.6656
1961,4,4,0,0,0,7079.2
1961,4,5,0,0,0,7192.4672
1961,4,6,0,0,0,7362.368
1961,4,7,0,0,0,7503.952
1961,4,8,0,0,0,7475.6352
1961,4,9,0,0,0,7220.784
1961,4,10,0,0,0,6711.0816
1961,4,11,0,0,0,6068.29024
1961,4,12,0,0,0,5688.84512
1961,4,13,0,0,0,5567.08288
1961,4,14,0,0,0,5479.3008
1961,4,15,0,0,0,5467.97408
1961,4,16,0,0,0,5547.26112
1961,4,17,0,0,0,5431.16224
1961,4,18,0,0,0,5249.93472
1961,4,19,0,0,0,4918.62816
1961,4,20,0,0,0,4508.03456
1961,4,21,0,0,0,3890.72832
1961,4,22,0,0,0,2457.89824
1961,4,23,0,0,0,2047.30464
1961,4,24,0,0,0,1815.10688
1961,4,25,0,0,0,1602.73088
1961,4,26,0,0,0,1543.2656
1961,4,27,0,0,0,1597.06752
1961,4,28,0,0,0,1902.88896
1961,4,29,0,0,0,2101.10656
1961,4,30,0,0,0,2205.87872
1961,5,1,0,0,0,2239.85888
1961,5,2,0,0,0,2010.4928
1961,5,3,0,0,0,1874.57216
1961,5,4,0,0,0,1857.58208
1961,5,5,0,0,0,1781.12672
1961,5,6,0,0,0,1656.5328
1961,5,7,0,0,0,1483.80032
1961,5,8,0,0,0,1373.3648
1961,5,9,0,0,0,1356.37472
1961,5,10,0,0,0,1279.91936
