time,longitude,latitude,slhf,ssr,sshf,str,u10,v10,t2m
2010-01-01,-88.0,30.25,-11974237.0,11240919.0,-5648075.0,-8154515.0,0.2345306,-2.1002462,283.48636
2010-02-01,-88.0,30.25,-12521890.0,13475330.0,-4910544.0,-7808694.5,0.5623157,-2.616675,283.71487
2010-03-01,-88.0,30.25,-8407296.0,17783600.0,-1657170.0,-7135715.5,1.1642928,-0.40486518,287.66162
2010-04-01,-88.0,30.25,-6459205.5,22470020.0,-197667.0,-7284165.0,-0.9782133,1.7348031,292.99527
2010-05-01,-88.0,30.25,-6227118.5,21909040.0,-311309.0,-5146405.0,-0.7706771,2.3864546,297.8872
2010-06-01,-88.0,30.25,-10193825.0,21395058.0,-761149.75,-4957890.5,-0.009019256,2.3999314,301.47052
2010-07-01,-88.0,30.25,-10869576.0,20764262.0,-850843.25,-4649921.0,-0.44728687,1.4543914,301.5928
2010-08-01,-88.0,30.25,-11017823.0,17193552.0,-1095822.8,-4110841.5,0.39555427,1.4215482,301.7506
2010-09-01,-88.0,30.25,-12206684.0,19749066.0,-781437.5,-6227620.5,-1.6818831,0.34893948,300.61447
2010-10-01,-88.0,30.25,-15355508.0,17292708.0,-1358801.8,-8536815.0,0.9966768,-0.9765608,296.12082
2010-11-01,-88.0,30.25,-12166383.0,11447924.0,-2515970.5,-7385486.5,-1.2365348,0.28959548,292.28714
2010-12-01,-88.0,30.25,-16936938.0,10733456.0,-6469198.0,-8901192.0,0.5609728,-1.9654764,285.23737
2011-01-01,-88.0,30.25,-9640055.0,11489217.0,-3343500.0,-7456443.0,-0.019640222,-1.6420289,284.79807
2011-02-01,-88.0,30.25,-6980591.5,13731778.0,-2873219.0,-6440490.0,-0.12841362,0.15743053,286.767
2011-03-01,-88.0,30.25,-5546330.5,17544266.0,-640185.5,-6233314.0,-0.8213404,1.2156563,291.23538
2011-04-01,-88.0,30.25,-7157985.0,23046214.0,-387884.25,-6569645.5,-0.73783755,3.2972264,294.6684
2011-05-01,-88.0,30.25,-11383765.0,24901656.0,-1268498.0,-7231870.5,-0.1210888,2.0284653,296.66464
2011-06-01,-88.0,30.25,-10383812.0,23390680.0,-531424.5,-5179722.0,2.208444,2.4249601,301.33594
