"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/01/01","00:00","-0.343","-","0.22"
"2020/01/01","01:00","-0.226","-","0.35"
"2020/01/01","02:00","-0.114","-","0.45"
"2020/01/01","03:00","-0.016","-","0.45"
"2020/01/01","04:00","0.064","-","0.48"
"2020/01/01","05:00","0.12","-","0.47"
"2020/01/01","06:00","0.148","-","0.41"
"2020/01/01","07:00","0.147","-","0.43"
"2020/01/01","08:00","0.115","-","0.37"
"2020/01/01","09:00","0.055","-","0.27"
"2020/01/01","10:00","-0.03","-","0.13"
"2020/01/01","11:00","-0.134","-","0.05"
"2020/01/01","12:00","-0.247","-","-0.04"
"2020/01/01","13:00","-0.362","-","-0.1"
"2020/01/01","14:00","-0.469","-","-0.27"
"2020/01/01","15:00","-0.558","-","-0.31"
"2020/01/01","16:00","-0.624","-","-0.39"
"2020/01/01","17:00","-0.661","-","-0.4"
"2020/01/01","18:00","-0.666","-","-0.41"
"2020/01/01","19:00","-0.643","-","-0.3"
"2020/01/01","20:00","-0.593","-","-0.22"
"2020/01/01","21:00","-0.524","-","-0.08"
"2020/01/01","22:00","-0.443","-","0.03"
"2020/01/01","23:00","-0.357","-","0.2"
"2020/01/02","00:00","-0.273","-","0.22"
"2020/01/02","01:00","-0.197","-","0.41"
"2020/01/02","02:00","-0.134","-","0.48"
"2020/01/02","03:00","-0.085","-","0.55"
"2020/01/02","04:00","-0.052","-","0.66"
"2020/01/02","05:00","-0.035","-","0.77"
"2020/01/02","06:00","-0.033","-","0.83"
"2020/01/02","07:00","-0.047","-","0.89"
"2020/01/02","08:00","-0.076","-","0.92"
"2020/01/02","09:00","-0.12","-","0.89"
"2020/01/02","10:00","-0.177","-","0.86"
"2020/01/02","11:00","-0.244","-","0.81"
"2020/01/02","12:00","-0.318","-","0.76"
"2020/01/02","13:00","-0.393","-","0.64"
"2020/01/02","14:00","-0.462","-","0.58"
"2020/01/02","15:00","-0.517","-","0.6"
"2020/01/02","16:00","-0.552","-","0.64"
"2020/01/02","17:00","-0.563","-","0.55"
"2020/01/02","18:00","-0.547","-","0.64"
"2020/01/02","19:00","-0.505","-","0.69"
"2020/01/02","20:00","-0.442","-","0.72"
"2020/01/02","21:00","-0.366","-","0.79"
"2020/01/02","22:00","-0.286","-","0.87"
"2020/01/02","23:00","-0.212","-","0.85"
"2020/01/03","00:00","-0.152","-","0.91"
"2020/01/03","01:00","-0.111","-","0.86"
"2020/01/03","02:00","-0.092","-","0.95"
"2020/01/03","03:00","-0.095","-","0.93"
"2020/01/03","04:00","-0.115","-","0.95"
"2020/01/03","05:00","-0.148","-","0.95"
"2020/01/03","06:00","-0.188","-","0.94"
"2020/01/03","07:00","-0.232","-","0.91"
"2020/01/03","08:00","-0.276","-","0.95"
"2020/01/03","09:00","-0.318","-","1.01"
"2020/01/03","10:00","-0.36","-","0.97"
"2020/01/03","11:00","-0.4","-","0.97"
"2020/01/03","12:00","-0.439","-","1.05"
